Component,MW,RD (m),hh (m),mass (kg),cost ($),model,source,note,OEM,outlier?,US market model?
blade,1.5,70,65,3900,,Enercon E-66/15.70,https://en.wind-turbine-models.com/turbines/73-enercon-e-66-15-70,,Enercon,No,No
blade,3.05,101,99,14200,,Enercon E-101,https://en.wind-turbine-models.com/turbines/130-enercon-e-101,,Enercon,No,No
blade,2.5,131,106.4,13600,,Envision EN-131 / 2.5,https://en.wind-turbine-models.com/turbines/1760-envision-en-131-2-5,,Envision,No,No
blade,3,140,90,11500,,Envision EN-140 / 3.0,https://en.wind-turbine-models.com/turbines/1761-envision-en-140-3-0,,Envision,No,No
blade,0.6,45.8,40,1400,,Floda Floda 600,https://en.wind-turbine-models.com/turbines/933-floda-floda-600,,Floda,No,No
blade,0.02,12.8,19,100,,FuhrlÃ¤nder FL 20,https://en.wind-turbine-models.com/turbines/277-fuhrlaender-fl-20,,FuhrlÃ¤nder,No,No
blade,0.03,12.8,18,100,,FuhrlÃ¤nder FL 30,https://en.wind-turbine-models.com/turbines/278-fuhrlaender-fl-30,,FuhrlÃ¤nder,No,No
blade,0.1,21,35,500,,FuhrlÃ¤nder FL 100 astOs,https://en.wind-turbine-models.com/turbines/279-fuhrlaender-fl-100-astos,,FuhrlÃ¤nder,No,No
blade,0.25,29.5,42,800,,FuhrlÃ¤nder FL 250,https://en.wind-turbine-models.com/turbines/280-fuhrlaender-fl-250,,FuhrlÃ¤nder,No,Yes
blade,0.5,39,40.5,1100,,Gamesa G39,https://en.wind-turbine-models.com/turbines/769-gamesa-g39,,Gamesa,No,No
blade,0.6,42,40.5,1200,,Gamesa G42,https://en.wind-turbine-models.com/turbines/770-gamesa-g42,,Gamesa,No,No
blade,0.6,44,40.5,1500,,Gamesa G44,https://en.wind-turbine-models.com/turbines/771-gamesa-g44,,Gamesa,No,Yes
blade,0.66,47,40,1300,,Gamesa G47,https://en.wind-turbine-models.com/turbines/772-gamesa-g47,,Gamesa,No,Yes
blade,2,80,60,6500,,Gamesa G80,https://en.wind-turbine-models.com/turbines/34-gamesa-g80,,Gamesa,No,Yes
